"","...1","...2","Make","Model","Variant","Displacement","Cylinders","Valves_Per_Cylinder","Emission_Norm","Fuel_Tank_Capacity","Fuel_Type","Height","Length","Width","Doors","City_Mileage","ARAI_Certified_Mileage","Kerb_Weight","Gears","Ground_Clearance","Front_Track","Rear_Track","Power","Torque","Seating_Capacity","Type","Wheelbase","Boot_Space","Minimum_Turning_Radius"
"456",456,455,39,"V40","R Design",1984,5,4,"BS IV",60,"Diesel",1420,4369,2041,5,168,16.81,1500,3,133,1559,1546,"150PS@3500rpm","350Nm@1500-2750rpm",5,"Automatic",2647,324,10.8
"457",457,456,NA,"Mercedes-Benz A-Class","180",1595,4,3.97768240343348,"BS IV",50,"Petrol",1433,4292,1780,5,12.03,15.5,1395,4,160,1553,1552,"122PS@5000rpm","200Nm@1250-4000rpm",5,"Automatic",2699,341,5.5
"458",458,457,NA,"Mercedes-Benz A-Class","200D",2143,4,4,"BS IV",50,"Diesel",1433,4292,2022,5,12.03,15.5,1515,4,160,1553,1552,"136PS@4400RPM","300Nm@1600-3000rpm",5,"Automatic",2699,341,5.5
"459",459,458,37,"Fortuner","2.8 4X2 At",2755,4,4,"BS IV",80,"Diesel",1835,4795,1855,5,12.55,12.9,1970,2,220,1540,1540,"177PS@3400rpm","450Nm@1600-2400rpm",7,"Automatic",2745,296,5.8
"460",460,459,37,"Fortuner","2.8 4X2 Mt",2755,4,4,"BS IV",80,"Diesel",1835,4795,1855,5,1255,14.24,1970,2,220,1540,1540,"177PS@3400rpm","420Nm@1600-2400rpm",7,"Manual",2745,296,5.8
"461",461,460,37,"Fortuner","2.8 4X4 Mt",2755,4,4,"BS IV",80,"Diesel",1835,4795,1855,5,1255,14.24,1383.01553829079,2,179.415557830092,1520,1526.37732656514,"177PS@3400rpm","420Nm@1600-2400rpm",7,"Manual",2745,389.766699410609,5.8
"462",462,461,37,"Fortuner","2.8 4X4 At",2755,4,4,"BS IV",80,"Diesel",1835,4795,1855,5,1255,12.9,1383.01553829079,2,179.415557830092,1520,1526.37732656514,"177PS@3400rpm","450Nm@1600-2400rpm",7,"Automatic",2745,389.766699410609,5.8
"463",463,462,37,"Fortuner","2.7 4X2 At",2694,4,4,"BS IV",80,"Petrol",1835,4795,1855,5,7.8,10.26,1383.01553829079,2,179.415557830092,1520,1526.37732656514,"166PS@5200rpm","245Nm@4000rpm",7,"Automatic",2745,389.766699410609,5.8
"464",464,463,37,"Fortuner","2.7 4X2 Mt",2694,4,4,"BS IV",80,"Petrol",1835,4795,1855,5,7.8,10.01,1383.01553829079,2,179.415557830092,1520,1526.37732656514,"166PS@5200rpm","245Nm@4000rpm",7,"Manual",2745,389.766699410609,5.6
"465",465,464,37,"Fortuner","Trd Celebratory Edition",2755,4,4,"BS IV",80,"Diesel",1835,4795,1855,5,12.55,12.9,1970,3,220,1540,1540,"177PS@3400rpm","450Nm@1600-2400rpm",7,"Automatic",2745,296,5.8
